Review,Sentiment
Camera performance was good 😍,Positive
"Must buy Mobile
All features are Excellent 👌👍
Excellent Camera
Beautiful Display
Excellent Sound Quality
Super Backup
Ram management and signal Reception good",Positive
Super! 😍 Good performance... Love it Realme ❤️,Positive
"Very fast delivery by Flipkart.nice product. camera, display and design is awesome.Liked it",Positive
"Best in class camera (🚨only photography
Not for videography🚨)",Positive
Camera is awesome.,Positive
"Nice camera performance, nice battery backup, good processor, thanks realme.
Go for it.",Positive
"Nice phone camera good
Camera shaking in zooming
Improvement in battery
Heating issue",Positive
#Nice 🔥 #Camera 🔥,Positive
Great phone at this price.,Positive
